Start,End,Open,High,Low,Close,Volume,Market Cap
2026-02-06,2026-02-07,62385.79,71671.13,60126.4,70556.88,169586922941.5493,1341561092325.8416
2026-02-07,2026-02-08,70306.96,71521.64,67627.69,69341.96,106553752024.35191,1386138001246.878
2026-02-08,2026-02-09,69351.81,71901.36,69000.32,70580.1,61974296039.64111,1405796272826.9128
2026-02-09,2026-02-10,70427.96,71362.19,68439.04,70162.1,59278579293.822296,1401468045245.5784
2026-02-10,2026-02-11,70108.97,70449.49,67966.62,68826.09,61011947550.29269,1383545504507.7073
2026-02-11,2026-02-12,68835.04,69267.99,65863.85,67026.03,57157455353.69686,1347463034342.4426
2026-02-12,2026-02-13,67097.46,68348.58,65296.02,66216.47,64029164015.72727,1338613893894.818
2026-02-13,2026-02-14,66450.07,69330.65,65918.73,68867.24,58825813667.24738,1349227387570.4216
2026-02-14,2026-02-15,68860.29,70499.29,68743.66,69805.29,49243254368.90244,1389430572205.2751
2026-02-15,2026-02-16,69818.01,70915.52,68104.82,68766.15,46512520112.9338,1390003890169.575
2026-02-16,2026-02-17,68745.99,69942.9,67391.92,68956.61,46777815615.47038,1369382204198.554
2026-02-17,2026-02-18,68848.33,69103.08,66686.77,67514,43399683571.83276,1360064834940.1775
2026-02-18,2026-02-19,67550.12,68377.71,65957.42,66502.51,42986841402.87805,1345216386753.2195
2026-02-19,2026-02-20,66436.02,67219.85,65752.34,66955.63,44272952289.14983,1334375661039.5957
2026-02-20,2026-02-21,66967.77,68263.04,66562.44,68000.29,49530513145.96167,1351049277233.007
2026-02-21,2026-02-22,68007.26,68696.66,67612.33,68007.47,48482304836.97212,1362217571918.7527
2026-02-22,2026-02-23,68013.26,68230.96,67283.85,67627.98,26768306034.223,1355689763737.561
2026-02-23,2026-02-24,67623.03,67648.73,63956.78,64601.04,52195018965.98606,1307827351089.704
2026-02-24,2026-02-25,64697.87,64974.49,62690.05,64033.97,61556776726.560974,1274165323335.38
2026-02-25,2026-02-26,64055.52,69494.04,63923.94,67932.96,59323167906.18467,1331874127725.9165
2026-02-26,2026-02-27,67830.64,68743.95,66615.33,67493.99,73543136219.12544,1357233608435.1428
2026-02-27,2026-02-28,67394.35,68101.01,64955.26,65869.63,56782688536.47387,1331269969461.2056
2026-02-28,2026-03-01,65899.88,67579.39,63250.5,66978.63,60475127945.756096,1303775245015.7456
2026-03-01,2026-03-02,67039.33,68078.68,65135.89,65720.04,66854212844.01742,1332056822818.3938
2026-03-02,2026-03-03,65913.04,69868,65373.18,68822.2,68147083699.39721,1346650865111.4878
2026-03-03,2026-03-04,68934.47,69150.18,66349.96,68300.94,78467443339.64459,1358591698384.6443
2026-03-04,2026-03-05,68279.1,73976.33,67525.75,72627.56,89287236690.25784,1417674179353.7734
2026-03-05,2026-03-06,72735.91,73498.97,70700.78,70875.4,93760627017.43204,1441531276855.007
2026-03-06,2026-03-07,70898,71337.93,67829.3,68131.39,68838958063.93379,1393987101762.986
2026-03-07,2026-03-08,68163.23,68520.02,67023.14,67276.32,53031370559.49826,1356840865828.5332
